SNo,SerialNumber,IsAssigned
1,S2XINOKQ,false
2,JZA4WKU2,false
3,X6ZLWAL8,false
4,9O23TR4T,false
5,2NU4DY3R,false
6,SBI5S3XL,false
7,RUUVT456,false
8,IBCJHPHA,false
9,6CSEGYGX,false
10,3SKYKYGX,false
11,8PJL4PNA,false
12,ZTM91W0C,false
13,C7QY1FIE,false
14,8A9K8YRJ,false
15,4R3LE5L4,false
16,QEKDMP08,false
17,6T7PA7PI,false
18,62W3OL2V,false
19,ECH0BPBJ,false
20,UYH0FMBV,false
21,WPM6RLWM,false
22,S5ETAUUA,false
23,UO915OV0,false
24,XKULJ8IO,false
25,YXEB25WK,false
26,HZP0HAX4,false
27,JRN0HRHS,false
28,B7MCGNRM,false
29,T0GXVBLD,false
30,P21810D2,false
31,0IMS3TXD,false
32,MR8GXMW0,false
33,0DERN9SO,false
34,ATYDI544,false
35,IC1VPWLT,false
36,V054MV5F,false
37,CYG1KTC6,false
38,1O3C6V5N,false
39,QRK0SENC,false
40,7AQV6AM6,false
41,GZZ9OW8R,false
42,I7PFVSAQ,false
43,PHE3TVQ4,false
44,VSH7ZTKM,false
45,YHPYVRFK,false
46,Q4C5ROYN,false
47,DD5TQFBT,false
48,1TLZTO7S,false
49,FL9PDEVE,false
50,R1MFL4FQ,false
51,E3UNQTBY,false
52,FJ564T7H,false
53,H4K9SXIW,false
54,ZYK0K66M,false
55,E6LL46RG,false
56,EJ3SKSOU,false
57,DQOOQ6BT,false
58,2AJXU9QD,false
59,LFX4UL7S,false
60,T8VCM5WQ,false
61,NBBEKC4W,false
62,LPY9M112,false
63,04OJALBT,false
64,DLCVKVG2,false
65,Q5BA1HI6,false
66,A3MWRUJO,false
67,IJMY91SA,false
68,TWZWJHN9,false
69,ZPD2R87R,false
70,KEL75XXD,false
71,KG6INVY7,false
72,WFYQ4YD8,false
73,QNNXRYKC,false
74,6BLMVFEL,false
75,EWQHOTI4,false
76,8T8D6LAE,false
77,PQ1FQ2HR,false
